angle,h,v
0,0,0
1,-0.01,-0.01
2,-0.03,-0.04
3,-0.08,-0.09
4,-0.14,-0.16
5,-0.22,-0.26
6,-0.32,-0.37
7,-0.44,-0.51
8,-0.57,-0.66
9,-0.73,-0.84
10,-0.91,-1.05
11,-1.1,-1.28
12,-1.32,-1.53
13,-1.57,-1.81
14,-1.83,-2.11
15,-2.12,-2.44
16,-2.43,-2.8
17,-2.77,-3.19
18,-3.14,-3.61
19,-3.53,-4.05
20,-3.95,-4.53
21,-4.4,-5.05
22,-4.87,-5.59
23,-5.36,-6.16
24,-5.89,-6.77
25,-6.43,-7.4
26,-6.98,-8.05
27,-7.54,-8.73
28,-8.11,-9.42
29,-8.66,-10.11
30,-9.2,-10.79
31,-9.7,-11.45
32,-10.15,-12.07
33,-10.55,-12.63
34,-10.89,-13.14
35,-11.18,-13.58
36,-11.41,-13.95
37,-11.61,-14.26
38,-11.78,-14.54
39,-11.95,-14.79
40,-12.13,-15.03
41,-12.34,-15.28
42,-12.59,-15.56
43,-12.89,-15.87
44,-13.24,-16.23
45,-13.66,-16.64
46,-14.15,-17.1
47,-14.7,-17.62
48,-15.31,-18.2
49,-15.94,-18.82
50,-16.57,-19.47
51,-17.14,-20.14
52,-17.57,-20.8
53,-17.79,-21.42
54,-17.77,-21.96
55,-17.54,-22.41
56,-17.15,-22.76
57,-16.69,-23
58,-16.21,-23.16
59,-15.77,-23.28
60,-15.4,-23.39
61,-15.12,-23.51
62,-14.95,-23.67
63,-14.89,-23.9
64,-14.95,-24.2
65,-15.13,-24.58
66,-15.43,-25.05
67,-15.88,-25.62
68,-16.47,-26.27
69,-17.22,-27.01
70,-18.12,-27.83
71,-19.2,-28.72
72,-20.44,-29.68
73,-21.79,-30.68
74,-23.11,-31.72
75,-24.14,-32.76
76,-24.53,-33.79
77,-24.21,-34.82
78,-23.42,-35.84
79,-22.51,-36.87
80,-21.67,-37.94
81,-20.99,-39.1
82,-20.5,-40.38
83,-20.2,-41.84
84,-20.1,-43.54
85,-20.18,-45.55
86,-20.47,-47.99
87,-20.96,-51.04
88,-21.67,-55.16
89,-22.64,-61.79
90,-23.92,-67.17
91,-25.58,-62.82
92,-27.78,-57.12
93,-30.78,-53.75
94,-34.98,-51.26
95,-39.15,-49.22
96,-36.42,-47.49
97,-32.29,-46.02
98,-29.42,-44.77
99,-27.42,-43.74
100,-26,-42.9
101,-24.98,-42.22
102,-24.27,-41.67
103,-23.82,-41.21
104,-23.57,-40.76
105,-23.5,-40.26
106,-23.6,-39.63
107,-23.83,-38.83
108,-24.18,-37.86
109,-24.62,-36.77
110,-25.09,-35.61
111,-25.53,-34.45
112,-25.86,-33.33
113,-25.98,-32.27
114,-25.86,-31.29
115,-25.49,-30.39
116,-24.93,-29.58
117,-24.28,-28.86
118,-23.6,-28.21
119,-22.95,-27.64
120,-22.35,-27.15
121,-21.82,-26.73
122,-21.37,-26.37
123,-21,-26.08
124,-20.71,-25.85
125,-20.5,-25.69
126,-20.37,-25.58
127,-20.31,-25.53
128,-20.33,-25.54
129,-20.42,-25.61
130,-20.58,-25.74
131,-20.81,-25.93
132,-21.11,-26.19
133,-21.48,-26.51
134,-21.92,-26.91
135,-22.42,-27.37
136,-22.99,-27.91
137,-23.63,-28.53
138,-24.33,-29.22
139,-25.09,-29.98
140,-25.9,-30.81
141,-26.73,-31.67
142,-27.58,-32.54
143,-28.38,-33.32
144,-29.09,-33.93
145,-29.66,-34.25
146,-30.02,-34.23
147,-30.15,-33.89
148,-30.08,-33.32
149,-29.83,-32.63
150,-29.48,-31.89
151,-29.07,-31.16
152,-28.64,-30.47
153,-28.2,-29.82
154,-27.78,-29.22
155,-27.39,-28.67
156,-27.01,-28.15
157,-26.65,-27.67
158,-26.31,-27.23
159,-25.99,-26.8
160,-25.68,-26.4
161,-25.38,-26.02
162,-25.09,-25.66
163,-24.81,-25.31
164,-24.54,-24.97
165,-24.27,-24.65
166,-24.02,-24.34
167,-23.77,-24.05
168,-23.54,-23.77
169,-23.32,-23.51
170,-23.11,-23.27
171,-22.92,-23.05
172,-22.74,-22.85
173,-22.59,-22.67
174,-22.45,-22.51
175,-22.34,-22.37
176,-22.24,-22.26
177,-22.16,-22.18
178,-22.11,-22.11
179,-22.08,-22.08
180,-22.06,-22.06
181,-22.08,-22.08
182,-22.11,-22.11
183,-22.16,-22.18
184,-22.24,-22.26
185,-22.34,-22.37
186,-22.45,-22.51
187,-22.59,-22.67
188,-22.74,-22.85
189,-22.92,-23.05
190,-23.11,-23.27
191,-23.32,-23.51
192,-23.54,-23.77
193,-23.77,-24.05
194,-24.02,-24.34
195,-24.27,-24.65
196,-24.54,-24.97
197,-24.81,-25.31
198,-25.09,-25.66
199,-25.38,-26.02
200,-25.68,-26.4
201,-25.99,-26.8
202,-26.31,-27.23
203,-26.65,-27.67
204,-27.01,-28.15
205,-27.39,-28.67
206,-27.78,-29.22
207,-28.2,-29.82
208,-28.64,-30.47
209,-29.07,-31.16
210,-29.48,-31.89
211,-29.83,-32.63
212,-30.08,-33.32
213,-30.15,-33.89
214,-30.02,-34.23
215,-29.66,-34.25
216,-29.09,-33.93
217,-28.38,-33.32
218,-27.58,-32.54
219,-26.73,-31.67
220,-25.9,-30.81
221,-25.09,-29.98
222,-24.33,-29.22
223,-23.63,-28.53
224,-22.99,-27.91
225,-22.42,-27.37
226,-21.92,-26.91
227,-21.48,-26.51
228,-21.11,-26.19
229,-20.81,-25.93
230,-20.58,-25.74
231,-20.42,-25.61
232,-20.33,-25.54
233,-20.31,-25.53
234,-20.37,-25.58
235,-20.5,-25.69
236,-20.71,-25.85
237,-21,-26.08
238,-21.37,-26.37
239,-21.82,-26.73
240,-22.35,-27.15
241,-22.95,-27.64
242,-23.6,-28.21
243,-24.28,-28.86
244,-24.93,-29.58
245,-25.49,-30.39
246,-25.86,-31.29
247,-25.98,-32.27
248,-25.86,-33.33
249,-25.53,-34.45
250,-25.09,-35.61
251,-24.62,-36.77
252,-24.18,-37.86
253,-23.83,-38.83
254,-23.6,-39.63
255,-23.5,-40.26
256,-23.57,-40.76
257,-23.82,-41.21
258,-24.27,-41.67
259,-24.98,-42.22
260,-26,-42.9
261,-27.42,-43.74
262,-29.42,-44.77
263,-32.29,-46.02
264,-36.42,-47.49
265,-39.15,-49.22
266,-34.98,-51.26
267,-30.78,-53.75
268,-27.78,-57.12
269,-25.58,-62.82
270,-23.92,-67.17
271,-22.64,-61.79
272,-21.67,-55.16
273,-20.96,-51.04
274,-20.47,-47.99
275,-20.18,-45.55
276,-20.1,-43.54
277,-20.2,-41.84
278,-20.5,-40.38
279,-20.99,-39.1
280,-21.67,-37.94
281,-22.51,-36.87
282,-23.42,-35.84
283,-24.21,-34.82
284,-24.53,-33.79
285,-24.14,-32.76
286,-23.11,-31.72
287,-21.79,-30.68
288,-20.44,-29.68
289,-19.2,-28.72
290,-18.12,-27.83
291,-17.22,-27.01
292,-16.47,-26.27
293,-15.88,-25.62
294,-15.43,-25.05
295,-15.13,-24.58
296,-14.95,-24.2
297,-14.89,-23.9
298,-14.95,-23.67
299,-15.12,-23.51
300,-15.4,-23.39
301,-15.77,-23.28
302,-16.21,-23.16
303,-16.69,-23
304,-17.15,-22.76
305,-17.54,-22.41
306,-17.77,-21.96
307,-17.79,-21.42
308,-17.57,-20.8
309,-17.14,-20.14
310,-16.57,-19.47
311,-15.94,-18.82
312,-15.31,-18.2
313,-14.7,-17.62
314,-14.15,-17.1
315,-13.66,-16.64
316,-13.24,-16.23
317,-12.89,-15.87
318,-12.59,-15.56
319,-12.34,-15.28
320,-12.13,-15.03
321,-11.95,-14.79
322,-11.78,-14.54
323,-11.61,-14.27
324,-11.41,-13.95
325,-11.18,-13.58
326,-10.89,-13.14
327,-10.55,-12.63
328,-10.15,-12.07
329,-9.7,-11.45
330,-9.2,-10.79
331,-8.66,-10.11
332,-8.11,-9.42
333,-7.54,-8.73
334,-6.98,-8.05
335,-6.43,-7.4
336,-5.89,-6.77
337,-5.36,-6.16
338,-4.87,-5.59
339,-4.4,-5.05
340,-3.95,-4.53
341,-3.53,-4.05
342,-3.14,-3.61
343,-2.77,-3.19
344,-2.43,-2.8
345,-2.12,-2.44
346,-1.83,-2.11
347,-1.57,-1.81
348,-1.32,-1.53
349,-1.1,-1.28
350,-0.91,-1.05
351,-0.73,-0.84
352,-0.57,-0.66
353,-0.44,-0.51
354,-0.32,-0.37
355,-0.22,-0.26
356,-0.14,-0.16
357,-0.08,-0.09
358,-0.03,-0.04
359,-0.01,-0.01
,,
